Bedrooms,Bathrooms,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,CU18,NZDep2018
4,2.0,826.0,980000,-37.0678773,174.9257112,7009995,60,21,48,39,27,30,14,219,1.0
4,2.0,743.0,990000,-37.0650699,174.92475890000003,7009995,60,21,48,39,27,30,14,219,1.0
3,1.0,272.0,680000,-37.07187879999999,174.9563186,7010203,99,48,30,21,24,15,19,240,10.0
6,2.0,672.0,1030000,-37.031105100000005,174.89252319999997,7009684,57,51,18,15,21,15,37,183,9.0
3,2.0,772.0,920000,-36.921876700000006,174.6646886,7007317,57,15,24,27,30,36,12,183,4.0
3,1.0,318.0,600000,-37.2096583,174.8966255,7010504,45,42,18,33,27,33,13,201,7.0
4,2.0,895.0,920000,-36.774209899999995,174.72523030000002,7002758,18,18,18,15,12,24,6,99,6.0
9,5.0,2028.0,1350000,-36.975488299999995,174.8644449,7008648,39,27,21,15,21,21,29,147,9.0
3,1.0,371.0,900000,-36.8864339,174.74586090000003,7005199,57,33,36,30,18,15,26,186,6.0
2,2.0,93.0,920000,-36.904282200000004,174.7588224,7005473,0,12,0,0,0,0,6,30,7.0
3,2.0,286.0,1340000,-36.9036375,174.75841880000002,7005473,0,12,0,0,0,0,6,30,7.0
3,1.0,429.0,850000,-36.900007099999996,174.6938496,7004415,33,27,30,15,21,21,23,153,6.0
3,1.0,623.0,630000,-36.8574435,174.60012680000003,7003539,60,30,18,15,15,27,12,171,10.0
6,2.0,479.0,1325000,-36.7502525,174.7350724,7002875,51,48,45,27,30,24,1,222,4.0
3,2.0,113.0,1140000,-36.898097799999995,174.75660459999997,7005463,30,72,24,18,21,15,26,174,5.0
4,2.0,469.0,1745000,-36.7781846,174.7508405,7003086,63,36,42,30,30,18,1,216,4.0
3,1.0,898.0,740000,-36.2986271,174.79864840000002,7001158,18,6,9,12,27,48,1,117,5.0
3,2.0,370.0,1120000,-36.906797999999995,174.7543779,7005250,63,18,21,12,6,18,26,129,10.0
3,2.0,120.0,580000,-36.9779943,174.8681825,7008656,42,42,30,24,21,21,29,186,7.0
3,1.0,422.0,670000,-36.915067,174.6456471,7007252,48,9,15,30,12,21,6,144,6.0
4,3.0,868.0,800000,-36.8820848,174.6567039,7004220,45,27,33,24,15,30,4,180,8.0
3,1.0,880.0,580000,-37.039314000000005,174.92106299999998,7009970,33,51,24,15,12,24,12,150,9.0
4,2.0,690.0,1175000,-36.9175628,174.7935673,7007983,66,33,48,36,27,33,14,237,5.0
4,3.0,238.0,800000,-37.0443323,174.927343,7010024,60,66,72,27,21,9,12,249,3.0
4,2.0,569.0,1325000,-36.920718,174.78031869999998,7007906,21,21,15,18,27,27,14,132,8.0
4,2.0,8000.0,1510000,-37.116236900000004,174.978964,7010270,39,27,18,27,45,69,2,219,1.0
4,3.0,8129.0,1620000,-37.1206153,174.9833398,7010270,39,27,18,27,45,69,2,219,1.0
3,1.0,447.0,1360000,-36.9069089,174.76022849999998,7005474,51,36,18,24,27,36,6,189,4.0
4,2.0,744.0,920000,-36.807162,174.71120390000002,7002670,36,15,30,21,21,3,3,129,2.0
3,1.0,630.0,870000,-36.6246599,174.7297045,7001611,72,27,18,30,33,30,2,213,4.0
3,1.0,415.0,660000,-36.991306200000004,174.84849640000002,7009392,45,45,30,21,18,24,29,183,8.0
3,1.0,93.0,850000,-36.8736688,174.8480004,7006441,36,27,42,21,6,15,7,147,6.0
3,2.0,804.0,1050000,-36.8046583,174.7047238,7002550,30,36,33,21,24,18,1,162,3.0
2,1.0,323.0,1625000,-36.8481167,174.73943,7004881,39,33,27,33,33,21,5,186,5.0
3,2.0,810.0,1625000,-36.9469952,174.77865680000002,7007923,39,18,36,18,24,51,13,189,4.0
3,2.0,728.0,910000,-36.933223100000006,174.84677019999998,7008462,15,30,21,12,9,15,18,93,8.0
4,3.0,580.0,1175000,-37.0800841,174.9260771,7010002,81,15,51,45,21,36,14,249,1.0
2,2.0,140.0,790000,-36.9011618,174.8510364,7006467,21,39,21,12,9,9,3,108,8.0
3,2.0,606.0,830000,-36.395545299999995,174.6535508,7001213,51,15,27,27,21,30,3,174,4.0
6,4.0,325.0,1825000,-36.6418176,174.7328175,7001628,24,15,9,9,21,24,1,93,1.0
4,1.0,175.0,1775000,-36.876847399999996,174.8147784,7006080,39,6,21,18,27,15,59,123,2.0
4,2.0,663.0,880000,-37.0465768,174.9117585,7009901,51,39,24,33,45,39,4,231,2.0
3,1.0,422.0,520000,-37.0654435,174.9672078,7010237,99,33,27,33,18,24,19,237,10.0
3,1.0,582.0,470000,-37.0661128,174.9674898,7010237,99,33,27,33,18,24,1,237,10.0
4,2.0,292.0,800000,-36.986520399999996,174.90794250000002,7009107,36,48,36,9,6,0,25,141,4.0
3,2.0,144.0,420000,-36.986073100000006,174.90841369999998,7009107,36,48,36,9,6,0,25,141,4.0
3,2.0,310.0,1250000,-37.1463039,174.929007,7010364,27,6,18,9,15,24,1,96,3.0
2,1.0,849.0,2275000,-36.8569511,174.818547,7006050,42,15,21,27,21,39,13,168,4.0
5,3.0,1032.0,2625000,-36.8568781,174.8186995,7006050,42,15,21,27,21,39,13,168,4.0
3,1.0,446.0,560000,-36.8412486,174.6043601,7003521,48,30,27,27,21,21,15,177,8.0
4,1.0,951.0,680000,-37.067935399999996,174.9598568,7010199,87,48,27,21,33,18,19,237,9.0
3,2.0,571.0,670000,-37.066514,174.9580746,7010199,87,48,27,21,33,18,19,237,9.0
5,3.0,877.0,1490000,-37.0516846,174.90614230000003,7009906,36,21,12,30,27,42,4,168,2.0
4,2.0,809.0,830000,-36.804617799999995,174.71203480000003,7002666,54,36,33,30,15,21,3,195,3.0
7,2.0,333.0,1400000,-36.8661486,174.75379180000002,7005141,24,42,21,12,12,15,2,132,3.0
3,1.0,1513.0,1005000,-36.920320000000004,174.6919081,7007481,30,15,15,9,12,6,10,90,9.0
3,2.0,528.0,850000,-36.877027399999996,174.640536,7003976,27,18,21,12,6,18,10,102,7.0
3,1.0,636.0,1040000,-36.8901125,174.8659207,7006581,57,27,18,15,18,12,2,147,10.0
5,3.0,417.0,1225000,-36.959775,174.93261090000001,7009292,39,12,21,21,15,3,25,111,5.0
3,2.0,170.0,630000,-37.0146766,174.89846619999997,7009772,51,39,39,27,18,36,37,210,6.0
3,1.0,658.0,990000,-36.9094537,174.7238505,7007592,45,45,24,30,18,39,26,201,6.0
4,2.0,1573.0,825000,-36.9465931,174.6634799,7007342,48,9,15,33,18,21,12,135,1.0
9,4.0,1843.0,2200000,-36.8603096,174.86930180000002,7006635,30,18,3,18,21,12,10,102,4.0
4,2.0,404.0,2050000,-36.859620899999996,174.8696361,7006635,30,18,3,18,21,12,10,102,4.0
2,1.0,176.0,1500000,-36.8506282,174.7506425,7005093,21,27,21,15,15,48,2,147,3.0
3,1.0,80.0,960000,-36.895639,174.8455024,7006461,27,12,27,24,18,15,18,123,6.0
4,2.0,683.0,970000,-36.8976911,174.9135872,7006911,69,24,27,33,12,27,9,195,5.0
